Linux 5.11.0-41-generic (Niramay-Inspiron-5515) 	12/19/2021 	_x86_64_	(16 CPU)

11:58:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:12 AM       4      1.00      0.00      1.00      1.00      0.00     97.00
11:58:12 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:12 AM       6      4.00      0.00      1.00      0.00      0.00     95.00
11:58:12 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:12 AM       8     87.88      0.00     12.12      0.00      0.00      0.00
11:58:12 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:12 AM      10      1.01      0.00      0.00      0.00      0.00     98.99
11:58:12 AM      11      1.02      0.00      0.00      0.00      0.00     98.98
11:58:12 AM      12      1.98      0.00      1.98      0.00      0.00     96.04
11:58:12 AM      13      1.01      0.00      0.00      0.00      0.00     98.99
11:58:12 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
11:58:12 AM      15      1.00      0.00      1.00      0.00      0.00     98.00

11:58:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:13 AM     all      9.18      0.00      2.25      0.00      0.00     88.58
11:58:13 AM       0      4.17      0.00     19.17      0.00      0.00     76.67
11:58:13 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:13 AM       2      6.00      0.00      1.00      0.00      0.00     93.00
11:58:13 AM       3      0.00      0.00      1.03      0.00      0.00     98.97
11:58:13 AM       4      5.10      0.00      1.02      0.00      0.00     93.88
11:58:13 AM       5      3.03      0.00      1.01      0.00      0.00     95.96
11:58:13 AM       6      7.22      0.00      0.00      0.00      0.00     92.78
11:58:13 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:13 AM       8     99.01      0.00      0.99      0.00      0.00      0.00
11:58:13 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:13 AM      10      1.03      0.00      1.03      0.00      0.00     97.94
11:58:13 AM      11      6.06      0.00      1.01      0.00      0.00     92.93
11:58:13 AM      12      4.04      0.00      3.03      0.00      0.00     92.93
11:58:13 AM      13      0.00      0.00      1.03      0.00      0.00     98.97
11:58:13 AM      14      2.02      0.00      2.02      0.00      0.00     95.96
11:58:13 AM      15      8.00      0.00      0.00      0.00      0.00     92.00

11:58:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:14 AM     all      7.30      0.00      0.69      0.00      0.00     92.01
11:58:14 AM       0      0.96      0.00      4.81      0.00      0.00     94.23
11:58:14 AM       1      0.99      0.00      0.00      0.00      0.00     99.01
11:58:14 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:58:14 AM       3      1.98      0.00      0.99      0.00      0.00     97.03
11:58:14 AM       4      1.02      0.00      0.00      0.00      0.00     98.98
11:58:14 AM       5      0.00      0.00      1.00      0.00      0.00     99.00
11:58:14 AM       6      0.99      0.00      0.99      0.00      0.00     98.02
11:58:14 AM       7      1.00      0.00      0.00      0.00      0.00     99.00
11:58:14 AM       8    100.00      0.00      0.00      0.00      0.00      0.00
11:58:14 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:14 AM      10      1.98      0.00      0.99      0.00      0.00     97.03
11:58:14 AM      11      3.03      0.00      0.00      0.00      0.00     96.97
11:58:14 AM      12      1.01      0.00      1.01      0.00      0.00     97.98
11:58:14 AM      13      1.01      0.00      0.00      0.00      0.00     98.99
11:58:14 AM      14      2.94      0.00      0.98      0.00      0.00     96.08
11:58:14 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:15 AM     all      7.04      0.00      0.38      0.00      0.00     92.58
11:58:15 AM       0      2.94      0.00      1.96      0.00      0.00     95.10
11:58:15 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
11:58:15 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM       4      1.02      0.00      1.02      0.00      0.00     97.96
11:58:15 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM       6      0.99      0.00      0.99      0.00      0.00     98.02
11:58:15 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM       8    100.00      0.00      0.00      0.00      0.00      0.00
11:58:15 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM      10      2.00      0.00      1.00      0.00      0.00     97.00
11:58:15 AM      11      1.02      0.00      0.00      0.00      0.00     98.98
11:58:15 AM      12      2.02      0.00      0.00      0.00      0.00     97.98
11:58:15 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:58:15 AM      14      1.02      0.00      0.00      0.00      0.00     98.98
11:58:15 AM      15      1.01      0.00      0.00      0.00      0.00     98.99

11:58:15 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:16 AM     all      8.31      0.00      2.19      0.00      0.00     89.51
11:58:16 AM       0      1.87      0.00     10.28      0.00      0.00     87.85
11:58:16 AM       1      0.99      0.00      1.98      0.00      0.00     97.03
11:58:16 AM       2      3.00      0.00      2.00      0.00      0.00     95.00
11:58:16 AM       3      1.98      0.00      1.98      0.00      0.00     96.04
11:58:16 AM       4      3.00      0.00      3.00      0.00      0.00     94.00
11:58:16 AM       5      0.00      0.00      1.00      0.00      0.00     99.00
11:58:16 AM       6      3.06      0.00      0.00      0.00      0.00     96.94
11:58:16 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:16 AM       8     87.00      0.00      2.00      0.00      0.00     11.00
11:58:16 AM       9     11.00      0.00      1.00      0.00      0.00     88.00
11:58:16 AM      10      4.08      0.00      1.02      0.00      0.00     94.90
11:58:16 AM      11      2.04      0.00      2.04      0.00      0.00     95.92
11:58:16 AM      12      3.00      0.00      3.00      0.00      0.00     94.00
11:58:16 AM      13      2.00      0.00      2.00      0.00      0.00     96.00
11:58:16 AM      14      2.02      0.00      2.02      0.00      0.00     95.96
11:58:16 AM      15      8.00      0.00      1.00      0.00      0.00     91.00

11:58:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:17 AM     all      7.95      0.00      1.06      0.19      0.00     90.80
11:58:17 AM       0      4.81      0.00      5.77      0.00      0.00     89.42
11:58:17 AM       1      3.03      0.00      1.01      0.00      0.00     95.96
11:58:17 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:58:17 AM       3      2.02      0.00      0.00      1.01      0.00     96.97
11:58:17 AM       4      1.01      0.00      1.01      0.00      0.00     97.98
11:58:17 AM       5      1.96      0.00      1.96      1.96      0.00     94.12
11:58:17 AM       6      1.01      0.00      1.01      0.00      0.00     97.98
11:58:17 AM       7      1.98      0.00      0.99      0.00      0.00     97.03
11:58:17 AM       8    100.00      0.00      0.00      0.00      0.00      0.00
11:58:17 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:58:17 AM      10      0.99      0.00      2.97      0.00      0.00     96.04
11:58:17 AM      11      1.00      0.00      1.00      0.00      0.00     98.00
11:58:17 AM      12      2.04      0.00      0.00      0.00      0.00     97.96
11:58:17 AM      13      3.00      0.00      0.00      0.00      0.00     97.00
11:58:17 AM      14      4.00      0.00      1.00      0.00      0.00     95.00
11:58:17 AM      15      0.00      0.00      0.00      0.00      0.00    100.00

11:58:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:18 AM     all      7.58      0.00      1.44      0.00      0.00     90.98
11:58:18 AM       0      0.95      0.00      6.67      0.00      0.00     92.38
11:58:18 AM       1      0.00      0.00      1.00      0.00      0.00     99.00
11:58:18 AM       2      3.96      0.00      0.00      0.00      0.00     96.04
11:58:18 AM       3      2.97      0.00      1.98      0.00      0.00     95.05
11:58:18 AM       4      2.04      0.00      1.02      0.00      0.00     96.94
11:58:18 AM       5      1.03      0.00      0.00      0.00      0.00     98.97
11:58:18 AM       6      1.01      0.00      2.02      0.00      0.00     96.97
11:58:18 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:58:18 AM       8     98.02      0.00      1.98      0.00      0.00      0.00
11:58:18 AM       9      0.00      0.00      1.00      0.00      0.00     99.00
11:58:18 AM      10      3.03      0.00      1.01      0.00      0.00     95.96
11:58:18 AM      11      0.00      0.00      2.02      0.00      0.00     97.98
11:58:18 AM      12      4.04      0.00      2.02      0.00      0.00     93.94
11:58:18 AM      13      0.00      0.00      1.00      0.00      0.00     99.00
11:58:18 AM      14      2.04      0.00      1.02      0.00      0.00     96.94
11:58:18 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

11:58:18 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:19 AM     all      9.22      0.00      1.93      0.06      0.00     88.79
11:58:19 AM       0      4.39      0.00     14.04      0.00      0.00     81.58
11:58:19 AM       1      2.00      0.00      0.00      0.00      0.00     98.00
11:58:19 AM       2      5.94      0.00      0.99      0.00      0.00     93.07
11:58:19 AM       3      1.01      0.00      1.01      1.01      0.00     96.97
11:58:19 AM       4      2.91      0.00      2.91      0.00      0.00     94.17
11:58:19 AM       5      3.00      0.00      2.00      0.00      0.00     95.00
11:58:19 AM       6      4.04      0.00      1.01      0.00      0.00     94.95
11:58:19 AM       7      1.01      0.00      0.00      0.00      0.00     98.99
11:58:19 AM       8     98.99      0.00      1.01      0.00      0.00      0.00
11:58:19 AM       9      4.95      0.00      0.00      0.00      0.00     95.05
11:58:19 AM      10      6.12      0.00      1.02      0.00      0.00     92.86
11:58:19 AM      11      2.04      0.00      0.00      0.00      0.00     97.96
11:58:19 AM      12      4.04      0.00      2.02      0.00      0.00     93.94
11:58:19 AM      13      2.04      0.00      1.02      0.00      0.00     96.94
11:58:19 AM      14      3.03      0.00      2.02      0.00      0.00     94.95
11:58:19 AM      15      3.03      0.00      0.00      0.00      0.00     96.97

11:58:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:58:20 AM     all      7.06      0.00      1.06      0.06      0.00     91.81
11:58:20 AM       0      2.78      0.00      8.33      0.00      0.00     88.89
11:58:20 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:58:20 AM       2      0.00      0.00      1.01      0.00      0.00     98.99
11:58:20 AM       3      0.00      0.00      1.01      0.00      0.00     98.99
11:58:20 AM       4      1.01      0.00      0.00      0.00      0.00     98.99
11:58:20 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:58:20 AM       6      0.00      0.00      1.01      0.00      0.00     98.99
11:58:20 AM       7      0.99      0.00      0.99      0.00      0.00     98.02
11:58:20 AM       8     71.29      0.00      1.98      0.00      0.00     26.73
11:58:20 AM       9     26.00      0.00      0.00      1.00      0.00     73.00
11:58:20 AM      10      3.00      0.00      1.00      0.00      0.00     96.00
11:58:20 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:58:20 AM      12      2.00      0.00      1.00      0.00      0.00     97.00
